Metodo,Random Forest 1,Random Forest 2,Decision Tree 1,Decision Tree 2,KNN 1,KNN 2,Redes Neurais 1,Redes Neurais 2
GridSearch,,,,,,,,
RandomizedSearch,,,,,,,,
